kecamatan,Kabupaten_kota,n_odp,n_pdp,n_positif,n_populasi,last_update
Bambanglipuro (Bambang Lipuro),Bantul,22,6,0,41.880,16 April 2020
Banguntapan,Bantul,153,28,2,111.955,16 April 2020
Bantul,Bantul,88,29,0,64.365,16 April 2020
Berbah,Sleman,29,7,0,54.789,16 April 2020
Cangkringan,Sleman,40,3,0,31.309,16 April 2020
Danurejan,Yogyakarta,15,2,1,21.335,16 April 2020
Depok,Sleman,244,37,4,189.649,16 April 2020
Dlingo,Bantul,12,1,0,39.537,16 April 2020
Galur,Kulon Progo,17,0,0,33.073,16 April 2020
Gamping,Sleman,78,18,2,93.549,16 April 2020
Gedangsari (Gedang Sari),Gunung Kidul,66,1,0,39.701,16 April 2020
Gedongtengen (Gedong Tengen),Yogyakarta,22,0,0,19.891,16 April 2020
Girimulyo,Kulon Progo,33,0,0,25.108,16 April 2020
Girisubo,Gunung Kidul,23,2,0,25.930,16 April 2020
Godean,Sleman,78,10,2,69.949,16 April 2020
Gondokusuman,Yogyakarta,53,7,1,42.818,16 April 2020
Gondomanan,Yogyakarta,15,3,0,14.982,16 April 2020
Imogiri,Bantul,49,10,0,63.542,16 April 2020
Jetis,Bantul,46,10,0,58.549,16 April 2020
Jetis,Yogyakarta,67,18,0,27.132,16 April 2020
Kalasan,Sleman,102,15,2,82.267,16 April 2020
Kalibawang,Kulon Progo,16,4,0,30.652,16 April 2020
Karangmojo,Gunung Kidul,183,9,0,56.866,16 April 2020
Kasihan,Bantul,36,18,6,103.527,16 April 2020
Kokap,Kulon Progo,27,0,0,36.690,16 April 2020
Kotagede,Yogyakarta,46,1,0,34.311,16 April 2020
Kraton,Yogyakarta,22,1,0,21.831,16 April 2020
Kretek,Bantul,37,2,0,30.863,16 April 2020
Lendah,Kulon Progo,9,2,0,41.532,16 April 2020
Mantrijeron,Yogyakarta,25,9,0,35.433,16 April 2020
Mergangsan,Yogyakarta,32,7,1,32.043,16 April 2020
Minggir,Sleman,40,1,0,32.585,16 April 2020
Mlati,Sleman,107,15,1,122.305,16 April 2020
Moyudan,Sleman,65,9,1,33.676,16 April 2020
Nanggulan,Kulon Progo,31,2,0,30.990,16 April 2020
Ngaglik,Sleman,106,30,6,96.996,16 April 2020
Ngampilan,Yogyakarta,16,3,1,18.550,16 April 2020
Ngawen,Gunung Kidul,108,2,0,35.180,16 April 2020
Ngemplak,Sleman,65,11,2,62.437,16 April 2020
Nglipar,Gunung Kidul,40,0,0,33.672,16 April 2020
Pajangan,Bantul,11,1,0,36.040,16 April 2020
Pakem,Sleman,42,10,2,37.588,16 April 2020
Pakualaman,Yogyakarta,10,1,0,10.810,16 April 2020
Paliyan,Gunung Kidul,55,2,0,33.200,16 April 2020
Pandak,Bantul,25,8,0,52.013,16 April 2020
Panggang,Gunung Kidul,10,1,0,21.243,16 April 2020
Panjatan,Kulon Progo,12,0,0,39.098,16 April 2020
Patuk,Gunung Kidul,39,2,0,0,16 April 2020
Pengasih,Kulon Progo,39,7,0,52.403,16 April 2020
Piyungan,Bantul,14,5,1,52.333,16 April 2020
Playen,Gunung Kidul,43,5,0,61.461,16 April 2020
Pleret,Bantul,73,8,0,48.170,16 April 2020
Ponjong,Gunung Kidul,66,9,0,56.611,16 April 2020
Prambanan,Sleman,30,8,0,53.948,16 April 2020
Pundong,Bantul,34,7,0,35.908,16 April 2020
Purwosari,nan,10,1,0,21.243,16 April 2020
Samigaluh,Kulon Progo,26,2,0,28.479,16 April 2020
Sanden,Bantul,33,3,0,31.972,16 April 2020
Sedayu,Bantul,20,5,0,47.646,16 April 2020
Semanu,Gunung Kidul,100,7,0,60.348,16 April 2020
Semin,Gunung Kidul,31,2,0,57.177,16 April 2020
Sentolo,Kulon Progo,47,3,0,50.496,16 April 2020
Sewon,Bantul,84,14,1,99.807,16 April 2020
Seyegan,Sleman,31,6,0,50.965,16 April 2020
Sleman,Sleman,88,11,0,69.510,16 April 2020
Srandakan,Bantul,34,5,0,31.218,16 April 2020
Tanjungsari,Gunung Kidul,18,0,0,29.579,16 April 2020
Tegalrejo,Yogyakarta,15,6,1,37.164,16 April 2020
Temon,Kulon Progo,62,4,0,27.480,16 April 2020
Tempel,Sleman,31,7,0,54.345,16 April 2020
Turi,Sleman,24,3,0,37.274,16 April 2020
Umbulharjo,Yogyakarta,102,12,0,69.887,16 April 2020
Wates,Kulon Progo,81,4,1,49.279,16 April 2020
Wirobrajan,Yogyakarta,32,5,1,27.868,16 April 2020
Wonosari,Gunung Kidul,65,12,1,88.058,16 April 2020
