kab_kota,n_odp,n_pdp,n_positif,n_total,last_update
Kota Makassar,468,178,171,817, 16 April 2020
Kabupaten Bone,281,6,0,287, 16 April 2020
Kabupaten Gowa,170,92,22,284, 16 April 2020
Kabupaten Luwu Timur,266,15,1,282, 16 April 2020
Kabupaten Bulukumba,165,18,1,184, 16 April 2020
Kabupaten Enrekang,159,9,2,170, 16 April 2020
Kabupaten Sinjai,152,11,0,163, 16 April 2020
Kabupaten Maros,126,11,19,156, 16 April 2020
Kabupaten Luwu Utara,120,9,0,129, 16 April 2020
Kabupaten Sidenreng Rappang,71,28,14,113, 16 April 2020
Kota Palopo,110,2,0,112, 16 April 2020
Kabupaten Bantaeng,108,2,0,110, 16 April 2020
Kabupaten Tana Toraja,100,2,0,102, 16 April 2020
Kabupaten Toraja Utara,77,0,0,77, 16 April 2020
Kabupaten Pangkajene Dan Kepulauan,63,4,2,69, 16 April 2020
Kota Parepare,57,5,1,63, 16 April 2020
Kabupaten Barru,57,2,0,59, 16 April 2020
Kabupaten Kepulauan Selayar,57,2,0,59, 16 April 2020
Kabupaten Wajo,53,4,0,57, 16 April 2020
Kabupaten Soppeng,41,4,1,46, 16 April 2020
Kabupaten Luwu,34,2,1,37, 16 April 2020
Kabupaten Takalar,27,5,2,34, 16 April 2020
Kabupaten Pinrang,21,7,3,31, 16 April 2020
