"","prov_id","kode_rs","nama_unit","alamat","nama_prov","jenis_faskes","lat","lng"
"1",12,"1277015","RS TNI Tk. IV 01.07.03","Jl. Sudirman No.1 Kelurahan ","SUMATERA UTARA","Rumah Sakit",3.596056,98.675812
"2",12,"1277011","RS Umum Daerah Padang Sidempuan","Jl Dr. F.L. Tobing No. 10,Padangsidimpuan","SUMATERA UTARA","Rumah Sakit",1.419353,99.185211
"3",12,"1276040","RS Tk IV 01.07.02 Binjai","Jl. Bandung No.4 Binjai","SUMATERA UTARA","Rumah Sakit",3.699319,98.507103
"4",12,"1276025","RS Bangkatan PTPN II","Jl. Hasanuddin No.40 Binjai","SUMATERA UTARA","Rumah Sakit",3.600425,98.48571
"5",12,"1275996","RS Umum Sufina Azis","Jl Karya Baru No.1,Medan","SUMATERA UTARA","Rumah Sakit",3.590356,98.711342
"6",12,"1275885","RS Umum Muhammadiyah","Jl Mandala By Pass No.27 Medan","SUMATERA UTARA","Rumah Sakit",3.589814,98.711395
"7",12,"1275863","RS Ibu dan Anak Harapan Ibu","Jl. Danau Singkarak 13 A,Medan","SUMATERA UTARA","Rumah Sakit",3.604606,98.647835
"8",12,"1275841","RS Umum Estomihi","Jl. Sisinga Mangaraja 235,Medan","SUMATERA UTARA","Rumah Sakit",3.561139,98.693314
"9",12,"1275826","RS Umum Bahagia Medan","Jl Bahagia 85 Ds.Teladan","SUMATERA UTARA","Rumah Sakit",3.562986,98.702972
"10",12,"1275804","RS Ibu dan Anak Badrul Aini","Jl Bromo Gg.Sukri No.18 Medan","SUMATERA UTARA","Rumah Sakit",3.575194,98.711632
"11",12,"1275794","RS Umum Haji Medan","Jl RS Haji Medan Estate","SUMATERA UTARA","Rumah Sakit",3.57855,98.688805
"12",12,"1275783","RS Ibu dan Anak Rosiva","Jl Bangka No 15 Medan","SUMATERA UTARA","Rumah Sakit",3.590178,98.68309
"13",12,"1275772","RS Umum Bandung","Jl Mistar No. 39-43","SUMATERA UTARA","Rumah Sakit",3.590897,98.645721
"14",12,"1275750","RS Umum Prof.Dr. Boloni","Jl Robert Wolter Monginsidi No.11 Medan","SUMATERA UTARA","Rumah Sakit",3.571014,98.668678
"15",12,"1275735","RS Umum Sehat","Jl Letda Sujono No.20 E Bandar selamat,Medan","SUMATERA UTARA","Rumah Sakit",3.585242,98.675598
"16",12,"1275724","RS Umum Sarah","Jl Baja Raya No.10 - Medan","SUMATERA UTARA","Rumah Sakit",3.587736,98.663574
"17",12,"1275713","RS Umum Martondi","Jl. Letda Sujono No.80-82,Medan","SUMATERA UTARA","Rumah Sakit",3.404942,98.604797
"18",12,"1275702","RS Ibu dan Anak Sri Ratu","Jl Nibung Raya No.204,Medan","SUMATERA UTARA","Rumah Sakit",3.585,98.675636
"19",12,"1275670","RS Umum Ameta Sejahtera","Jl Simpang Kantor No.6, Medan Labuhan","SUMATERA UTARA","Rumah Sakit",3.723469,98.678131
"20",12,"1275655","RSUP H. Adam Malik","Jl Bunga Lau No. 17, Medan","SUMATERA UTARA","Rumah Sakit",3.5189,98.610298
"21",12,"1275644","RS Umum Melati","Jl. Timor No.27 D,Medan","SUMATERA UTARA","Rumah Sakit",3.595889,98.680542
"22",12,"1275633","RS Umum Martha Friska","Jl KL. Yos Sudarso Km.6 No. 91,Medan","SUMATERA UTARA","Rumah Sakit",3.683069,98.665321
"23",12,"1275622","RS Umum Imelda Pekerja Indonesia","Jl Bilal No.24 Pulo Brayan Darat I,Medan","SUMATERA UTARA","Rumah Sakit",3.62275,98.683945
"24",12,"1275600","RS Umum Prima Husada Cipta Medan","Jl Stasiun No.92, Belawan Medan","SUMATERA UTARA","Rumah Sakit",3.772269,98.681465
"25",12,"1275590","RS Umum Bhakti","Jl HM Joni No.64 Medan","SUMATERA UTARA","Rumah Sakit",3.568767,98.697014
"26",12,"1275516","RS Umum Mitra Medika","Jl. K.L. Yos Sudarso Km 7,5 Tanjung Mulia,Medan","SUMATERA UTARA","Rumah Sakit",3.637389,98.66581
"27",12,"1275356","RS Umum Hisarma","Jl. Gatot Subroto 108,Medan","SUMATERA UTARA","Rumah Sakit",3.591031,98.641991
"28",12,"1275309","RS Khusus Mata Medan Baru Medical Centre","Jl Abdullah Lubis No.67, Medan","SUMATERA UTARA","Rumah Sakit",3.576833,98.659637
"29",12,"1275298","RS Umum Mitra Sejati","Jl Jend. AH Nasution No.7 Pangkalan Masyhur Medan","SUMATERA UTARA","Rumah Sakit",3.540853,98.679672
"30",12,"1275276","RS Umum Vina Estetica","Jl Sultan Iskandar Muda No.119","SUMATERA UTARA","Rumah Sakit",3.587061,98.661293
"31",12,"1275265","RS Umum Sundari","Jl Jend. T.B.Simatupang No.31,Medan","SUMATERA UTARA","Rumah Sakit",3.585242,98.675598
"32",12,"1275232","RS Khusus Bedah Accuplast","Jl Sei Bahbolon No.40, Medan Baru","SUMATERA UTARA","Rumah Sakit",3.582061,98.654732
"33",12,"1275221","RS Jiwa Prof. Dr. Muhammad Ildrem","Jl Let. Jend. Jamin Ginting S Km. 10/ Jl. Tali Air No. 21 Kel. Mangga Kec. Medan Tuntungan","SUMATERA UTARA","Rumah Sakit",3.585222,98.675575
"34",12,"1275210","RS Jiwa Bina Atma","Jl Hos Cokroaminoto No.122, Medan","SUMATERA UTARA","Rumah Sakit",3.591678,98.691605
"35",12,"1275196","RS Umum Sari Mutiara","Jl Kapten Muslim 79, Medan","SUMATERA UTARA","Rumah Sakit",3.597981,98.644745
"36",12,"1275163","RS Umum Islam Malahayati","Jl Pangeran Diponegoro No.2-4 Medan","SUMATERA UTARA","Rumah Sakit",3.586719,98.6726
"37",12,"1275152","RS Umum Lanu Dr. Abd. Malik","Jl. Imam Bonjol No.50,Medan","SUMATERA UTARA","Rumah Sakit",3.579528,98.67675
"38",12,"1275147","RS Umum Full Bethesda","Jl Binjai Km.10,8/Jl. Sama No.71","SUMATERA UTARA","Rumah Sakit",3.59125,98.623077
"39",12,"1275141","RS AL Dr. Komang Makes Belawan","Jl. Bengkalis Belawan No.1 Medan","SUMATERA UTARA","Rumah Sakit",3.783683,98.684319
"40",12,"1275130","RS Umum Materna","Jl Teuku Umar 9-11,Medan","SUMATERA UTARA","Rumah Sakit",3.584481,98.668999
