satker,nama,alamat,prov,ruang,kelas,total_kamar,terisi_lk,terisi_pr,total_terisi,kosong_lk,kosong_pr,total_kosong,waiting_list,last_update,lat,lng
1275655,RSUP H. Adam Malik,"Jl Bunga Lau No. 17, Medan",SUMATERA UTARA,Isolasi Air Borne,Kelas 1,11,3,7,10,-,-,1,N/A,01/Apr/2020 02:19:00,3.5189,98.610298
1275655,RSUP H. Adam Malik,"Jl Bunga Lau No. 17, Medan",SUMATERA UTARA,Isolasi TB MDR,Kelas 3,10,1,2,3,-,-,7,N/A,01/Apr/2020 02:19:00,3.5189,98.610298
1275035,RS Tk. II Putri Hijau Medan,"Jl Putri Hijau No. 17, Medan",SUMATERA UTARA,Isolasi Air Borne,Isolasi,4,2,0,2,0,2,2,N/A,17/Jan/2019 05:41:50,3.595758,98.675636
1273011,RS Umum Daerah Dr. Djasamen Saragih,"Jl Sutomo No. 230, Pematangsiantar",SUMATERA UTARA,ICU,Isolasi,5,0,0,0,2,3,5,N/A,31/Mar/2020 05:00:55,2.9586330000000003,99.069626
1271016,RS Umum Daerah Dr. Fl Tobing Sibolga,Jl Dr. F.L. Tobing No. 35 Sibolga,SUMATERA UTARA,ICU,Isolasi,1,0,0,0,1,1,2,N/A,01/Mar/2019 06:34:39,1.700822,98.82294499999999
1201016,RS Umum Daerah Gunungsitoli,Jl dr. Ciptomangunkusumo No 15 Gunungsitoli,SUMATERA UTARA,Isolasi Anak,Rawat Khusus,10,3,4,7,1,2,3,N/A,08/Mar/2019 05:35:45,1.2732,97.622963
1372011,RS Umum Daerah Solok,"  Jl. Simpang Rumbio,Solok",SUMATERA BARAT,Paru,Isolasi,2,0,0,0,1,1,2,N/A,29/Nov/2018 07:49:57,-1.476997,101.04686
1371444,RS Umum Daerah dr. Rasidin Padang," Jl. Air Paku Sei.Sapih Kec.Kuranji,Padang",SUMATERA BARAT,Umum,Isolasi,0,0,0,0,-,-,0,N/A,25/Feb/2019 07:14:27,0.904914,100.380157
1309011,RS Umum Daerah Lubuk Sikaping," Jl. Jen Sudirman No.33,Lubuk Sikaping",SUMATERA BARAT,Luka Bakar,Isolasi,8,0,0,0,-,-,8,N/A,01/Apr/2020 03:53:29,-0.135597,100.16843399999999
1309011,RS Umum Daerah Lubuk Sikaping," Jl. Jen Sudirman No.33,Lubuk Sikaping",SUMATERA BARAT,Isolasi Anak,Isolasi,2,0,0,0,-,-,2,N/A,01/Apr/2020 03:53:01,-0.135597,100.16843399999999
