kode,kab_kota,n_odr,n_otg,n_odp,n_pdp,n_confirm,n_sembuh,n_meninggal,last_update,lat,long
35.27,KAB. SAMPANG,14248,6,322,0,0,0,0,2020-04-16 16:12:06,"-7,1927155","113,2429293"
35.78,KOTA SURABAYA,4272,527,1658,634,246,43,24,2020-04-16 15:30:16,"-7,2756141","112,6426424"
35.19,KAB. MADIUN,421,372,233,9,3,1,0,2020-04-16 15:02:52,"-7,6666455","111,5912452"
35.12,KAB. SITUBONDO,3236,103,264,22,11,6,0,2020-04-16 14:59:43,"-7,7168478","113,9278534"
35.22,KAB. BOJONEGORO,32605,185,132,1,4,0,1,2020-04-16 14:40:02,"-7,1524790","111,8869290"
35.71,KOTA KEDIRI,1280,89,176,7,7,2,0,2020-04-16 14:27:53,"-7,8228400","112,0118640"
35.05,KAB. BLITAR,767,65,636,11,3,1,1,2020-04-16 14:40:34,"-8,2814419","112,3027620"
35.20,KAB. MAGETAN,269,4,142,19,10,8,1,2020-04-16 13:59:02,"-7,6774309","111,3616371"
35.10,KAB. BANYUWANGI,4017,125,615,9,3,1,1,2020-04-16 13:58:47,"-8,4169235","114,3311312"
35.15,KAB. SIDOARJO,626,641,472,111,50,5,6,2020-04-16 15:59:08,"-7,4338023","112,6734275"
35.14,KAB. PASURUAN,1387,42,146,32,10,0,0,2020-04-16 14:59:24,"-7,7514338","112,8700750"
35.09,KAB. JEMBER,14218,146,947,26,4,1,1,2020-04-16 13:51:33,"-8,3951516","113,6809395"
35.21,KAB. NGAWI,17597,17,242,14,0,0,0,2020-04-16 13:48:43,"-7,4324690","111,2547392"
35.01,KAB. PACITAN,13670,10,500,4,1,0,0,2020-04-16 15:11:43,"-8,1318878","111,2278873"
35.73,KOTA MALANG,1330,153,551,103,8,7,0,2020-04-16 13:36:08,"-7,9786395","112,5617416"
35.02,KAB. PONOROGO,12472,99,352,23,6,1,0,2020-04-16 15:53:00,"-7,8756185","111,4692888"
35.06,KAB. KEDIRI,11143,364,396,36,13,2,4,2020-04-16 15:30:07,"-7,8332959","112,1666262"
35.23,KAB. TUBAN,11278,89,488,13,3,0,1,2020-04-16 13:29:11,-6.899108667900085,111.763916015625
35.07,KAB. MALANG,1464,64,252,101,15,4,1,2020-04-16 16:02:07,-8.2084395,"112,7468452"
35.04,KAB. TULUNGAGUNG,7624,133,937,178,15,1,0,2020-04-16 15:05:11,"-7,7455014","111,8953035"
35.16,KAB. MOJOKERTO,6050,0,364,45,1,0,0,2020-04-16 13:24:17,"-7,586911","112,420605"
