satker,nama,alamat,prov,ruang,kelas,total_kamar,terisi_lk,terisi_pr,total_terisi,kosong_lk,kosong_pr,total_kosong,waiting_list,last_update,lat,lng
1275655,RSUP H. Adam Malik,"Jl Bunga Lau No. 17, Medan",SUMATERA UTARA,Isolasi Air Borne,Kelas 1,11,4,6,10,-,-,1,N/A,27/Mar/2020 09:19:00,3.5189,98.610298
1275655,RSUP H. Adam Malik,"Jl Bunga Lau No. 17, Medan",SUMATERA UTARA,Isolasi TB MDR,Kelas 3,10,1,2,3,-,-,7,N/A,27/Mar/2020 09:19:00,3.5189,98.610298
1275035,RS Tk. II Putri Hijau Medan,"Jl Putri Hijau No. 17, Medan",SUMATERA UTARA,Isolasi Air Borne,Isolasi,4,2,0,2,0,2,2,N/A,17/Jan/2019 05:41:50,3.595758,98.675636
1201016,RS Umum Daerah Gunungsitoli,Jl dr. Ciptomangunkusumo No 15 Gunungsitoli,SUMATERA UTARA,Isolasi Anak,Rawat Khusus,10,3,4,7,1,2,3,N/A,08/Mar/2019 05:35:45,1.2732,97.622963
1309011,RS Umum Daerah Lubuk Sikaping," Jl. Jen Sudirman No.33,Lubuk Sikaping",SUMATERA BARAT,Isolasi Anak,Isolasi,2,0,0,0,-,-,2,N/A,26/Mar/2020 03:21:36,-0.135597,100.16843399999999
1308016,RS Umum Daerah Lubuk Basung,"        Jl. M.Hatta Padang Baru,Lubuk Basung",SUMATERA BARAT,Isolasi Imunitas menurun,Kelas 1,2,0,0,0,1,1,2,N/A,28/Mar/2020 03:58:32,-0.25455,100.172493
1571067,RS Umum Mayang Medical Centre,"Jl. Ir.H. Juanda No.56 Simp III Sipin, Jambi",JAMBI,Isolasi Air Borne,Kelas 1,4,1,0,1,1,2,3,N/A,30/May/2018 07:03:30,-1.630422,103.550972
1671013,RS Umum Pusat Dr. Mohammad Hoesin Palembang,"JL Jendral Sudirman KM 3,5 Palembang",SUMATERA SELATAN,Isolasi Air Borne,Rawat Khusus,0,0,0,0,-,-,0,N/A,23/Aug/2018 09:19:05,-2.972911,104.75193
1671013,RS Umum Pusat Dr. Mohammad Hoesin Palembang,"JL Jendral Sudirman KM 3,5 Palembang",SUMATERA SELATAN,Isolasi TB MDR,Rawat Khusus,5,1,1,2,-,-,3,N/A,26/Mar/2020 00:36:34,-2.972911,104.75193
1709038,RS Umum Daerah Bengkulu Tengah,"   Jl. Raya Bengkulu - Kepahiang  Km.27,5 Desa Durian Demang Kecamatan Karang Tinggi Kabupaten Bengk",BENGKULU,Isolasi TB MDR,Kelas 3,4,0,0,0,2,2,4,N/A,28/Mar/2020 04:17:04,-3.80065,102.256203
1708010,RS Umum Daerah Kepahiang,Jl. Lintas Kepahiang-Bengkulu KM 03 Desa Tebat Monok Kepahiang,BENGKULU,Isolasi Air Borne,Kelas 3,3,0,0,0,2,1,3,N/A,24/Feb/2018 08:17:26,-3.643758,102.573982
1702015,RS Umum Daerah Curup,Jl. Basuki rahmat No. 10 Dwi Tunggal Curup,BENGKULU,Isolasi Imunitas menurun,Rawat Khusus,5,1,2,3,1,1,2,N/A,28/Mar/2020 03:57:32,-3.4574529999999997,102.55326099999999
1702015,RS Umum Daerah Curup,Jl. Basuki rahmat No. 10 Dwi Tunggal Curup,BENGKULU,Isolasi Anak,Rawat Khusus,0,0,0,0,-,-,0,N/A,28/Mar/2020 03:56:51,-3.4574529999999997,102.55326099999999
1807014,RS Umum Daerah Zainal Abidin Pagar Alam,"   Jl. Raya Lintas Sumatera, Blambangan Umpu",LAMPUNG,Isolasi Air Borne,Isolasi,2,0,0,0,1,1,2,N/A,27/Oct/2018 07:28:50,-5.379453,105.25293700000002
1801017,RS Umum Daerah Dr H Abdul Moeloek,"   Jl. Dr. Rivai 6,Penengahan B.Lampung",LAMPUNG,Isolasi Air Borne,Rawat Khusus,6,0,0,0,-,-,6,N/A,04/Mar/2019 10:15:01,-5.79025,105.717064
1801017,RS Umum Daerah Dr H Abdul Moeloek,"   Jl. Dr. Rivai 6,Penengahan B.Lampung",LAMPUNG,Isolasi TB MDR,Kelas 3,6,4,2,6,-,-,0,N/A,04/Mar/2019 10:15:01,-5.79025,105.717064
3175016,RS Umum Daerah Koja," Jl. Deli No.4 Tanjung Priok,Jakut",DKI JAKARTA,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.108861,106.900002
3174074,RS Umum Daerah Cengkareng,Jl.Kamal Raya Bumi Cengkareng Indah Cengkareng Timur,DKI JAKARTA,Isolasi Air Borne,Intermediate,8,2,3,5,-,-,3,N/A,28/Mar/2020 11:24:53,-6.14275,106.735001
3174074,RS Umum Daerah Cengkareng,Jl.Kamal Raya Bumi Cengkareng Indah Cengkareng Timur,DKI JAKARTA,Isolasi Imunitas menurun,Isolasi,41,13,14,27,-,-,14,N/A,28/Mar/2020 11:24:53,-6.14275,106.735001
